nom,nature,adresse,code_postal,commune,the_geom
Collège de la Haute Azergues,COLLEGE,582 route de Lyon ,69870,Lamure-sur-Azergues,POINT (4.493104935354752 46.05505830754876)
Collège Eugénie de Pomey,COLLEGE,10 rue des Fontaines BP 31 ,69550,Amplepuis,POINT (4.334419897679285 45.97206389338844)
Collège privé Notre Dame Site Claudine Thévenet,COLLEGE,270 route Henri Fessy ST JEAN D ARDIERES 69220 BELLEVILLE EN BEAUJOLAIS,69220,Belleville-en-Beaujolais,POINT (4.709041447693256 46.11597543712845)
Collège Gilbert Chabroux,COLLEGE,35 rue Bourgchanin ,69110,Villeurbanne,POINT (4.9027324984989455 45.76567823174629)
Ecole secondaire privée institut de gestion Sociale des Armées,COLLEGE,6 rue Saint Maurice 69580 SATHONAY VILLAGE,69580,Sathonay-Village,POINT (4.880167433997411 45.83053916693582)
Ecole secondaire privée Collège au carré,COLLEGE,29 avenue Antoine de St Exupéry 69100 VILLEURBANNE,69100,Villeurbanne,POINT (4.8776126140425795 45.75919405874968)
Ecole secondaire privée Montessori'sGones,COLLEGE,7 avenue Birmingham 69004 LYON,69004,Lyon 4e Arrondissement,POINT (4.812414668594059 45.77537565059194)
Collège Jean d'Ormesson,COLLEGE,1 chemin de sous-dormont ,69740,Genas,POINT (5.024036207819844 45.72510241605994)
Collège privé La Plume Bleue - Union européenne pour l'enseignement privé musulman,COLLEGE,466 rue CHARLES SEVE 69400 VILLEFRANCHE SUR SAONE,69400,Villefranche-sur-Saône,POINT (4.747469234215421 45.97690962915795)
Ecole secondaire privée La Fourmi,COLLEGE,16 rue JEAN DESPARMET 69008 LYON,69008,Lyon 8e Arrondissement,POINT (4.877736960764198 45.73584402076989)
Ecole secondaire privée La Péraudière,COLLEGE,LIEU DIT LA PERAUDIERE LIEU DIT LA PERAUDIERE 69770 MONTROTTIER,69770,Montrottier,POINT (4.466349978582651 45.790130777650994)
