adresse,commune,surface_m2,aire_jeu,eau,toilettes,code_insee,longitude,latitude
1 Rue Edouard Millaud,Saint-Genis-Laval,36358.95,False,True,True,69204,4.786552,45.69293704090367
2 130 Avenue Georges Clemenceau,Saint-Genis-Laval,4506.04,False,False,False,69204,4.792575,45.69654604090331
5110 Place des Minimes,Lyon 5e Arrondissement,3334.82,False,True,False,69385,4.821792696554102,45.758162063601254
6073 Rue Tête d'Or,Lyon 6e Arrondissement,2094.41,True,True,False,69386,4.8520253928748955,45.76637067128756
8138 7 Rue du Presbytere,Lyon 8e Arrondissement,1330.87,True,False,False,69388,4.8519639134066805,45.73528218546963
7105 390 Rue Garibaldi,Lyon 7e Arrondissement,2037.58,True,False,False,69387,4.846837066277471,45.74433417665567
6049 147 Rue de Créqui,Lyon 6e Arrondissement,2642.52,False,False,False,69386,4.847662857999001,45.76420301363675
8 10 Boulevard De Lattre de Tassigny,Rillieux-la-Pape,10804.0,True,True,True,69286,4.90440761928713,45.81202846678802
56130 2 Rue Barème,Lyon 6e Arrondissement,,False,False,False,69386,4.842589066329906,45.77418265256713
40 33 Rue Armand,Villeurbanne,3423.62539558,True,True,False,69266,4.886611987507322,45.77980299705135
96 20 Rue Valentin Haüy,Villeurbanne,6215.48539433,True,True,False,69266,4.883571325499209,45.758613054467226
88 85 Rue Anatole France,Villeurbanne,4299.03682266,True,False,False,69266,4.877137096411948,45.7685472874983
39 119 Rue Anatole France,Villeurbanne,1521.04208196,False,False,False,69266,4.881793590304149,45.76863093995153
98 61 Rue Château Gaillard,Villeurbanne,5637.92951374,True,True,False,69266,4.8869748737846574,45.77685407219979
9185 Rue Jean Fournier,Lyon 9e Arrondissement,2274.72,True,False,False,69389,4.7946534538348295,45.7793882094839
3127 Rue d'Aubigny,Lyon 3e Arrondissement,718.46,True,True,False,69383,4.863071448488966,45.76148040833763
2 Rue Condorcet,Vaulx-en-Velin,10693.0,True,False,True,69256,4.917370665399331,45.77779532319397
181 45 Rue Edouard Vaillant,Villeurbanne,553.1001499,True,True,False,69266,4.880264958951454,45.77565116009068
53315 Place Djibraël Bahadourian,Lyon 3e Arrondissement,6282.21,True,True,True,69383,4.8451893942257245,45.75751876895814
7280 57 avenue Leclerc,Lyon 7e Arrondissement,1213.08,False,False,False,69387,4.824170800389541,45.73464049388658
180 132 Rue des Bienvenus,Villeurbanne,365.93432899,True,False,False,69266,4.884028681694316,45.7763328784923
187 11 Rue Château Gaillard,Villeurbanne,3053.86630014,True,True,False,69266,4.8836459645795225,45.77927979593149
194 Rue Francis de Pressensé,Villeurbanne,1955.6250002,False,False,False,69266,4.88925320088037,45.7697965374962
1054 27 rue Pierre Dupont,Lyon 1er Arrondissement,15747.35,True,True,False,69381,4.820685511544825,45.7712945504882
51052 Place des Chartreux,Lyon 1er Arrondissement,710.0,True,False,False,69381,4.82167928272507,45.77071271614104
3034 16 Avenue des Acacias,Lyon 3e Arrondissement,30921.01,True,True,True,69383,4.881680155125889,45.75161986330029
195 Rue Prisca,Villeurbanne,2824.37697884,True,True,False,69266,4.880658737454365,45.78072955516999
207 212 Rue Francis de Pressensé,Villeurbanne,271.50513599,False,False,False,69266,4.8883266095370725,45.77054499505955
212 132 Rue Louis Becker,Villeurbanne,2510.8064956,True,True,False,69266,4.876085547819209,45.765198246666
369 63 Rue Henri Legay,Villeurbanne,610.36172814,False,True,False,69266,4.916554436500516,45.75462055178995
379 Avenue Antoine Dutrievoz,Villeurbanne,17944.6501599,True,True,False,69266,4.8634000564677615,45.77427538832792
381 3 Rue Etienne Gagnaire,Villeurbanne,8728.19182296,True,True,False,69266,4.865356873136479,45.77372716432044
382 83 Rue Pierre Voyant,Villeurbanne,25251.1796403,True,True,False,69266,4.900389984785486,45.76870682043017
384 Boulevard du 11 Novembre 1918,Villeurbanne,11362.2355212,True,True,False,69266,4.8646849287332605,45.78028661503809
385 2 Rue de la Pouponnière,Villeurbanne,2624.77995914,True,False,False,69266,4.894319179718572,45.75480232413469
386 192 Rue du 4 Août 1789,Villeurbanne,1202.99488941,True,True,False,69266,4.8929625114686495,45.76459083228719
387 1 Rue Bernard Lecache,Villeurbanne,2957.21819988,True,False,False,69266,4.9099719185315065,45.76503461204953
388 51 Rue Dedieu,Villeurbanne,237.29865007,True,False,False,69266,4.867622963152689,45.76968649368559
392 2 Rue Marcel Doret,Villeurbanne,423.15891461,True,False,False,69266,4.912509962605392,45.755244352141865
389 251 Cours Emile Zola,Villeurbanne,2332.03309606,True,True,False,69266,4.888456494034781,45.76957072983312
390 10 Avenue Condorcet,Villeurbanne,1769.12265869,False,True,False,69266,4.865942822430461,45.777882521793735
391 36 Rue Viret,Villeurbanne,408.27681272,True,False,False,69266,4.875273621298107,45.77227362593303
7134 98 Rue Jean Vallier,Lyon 7e Arrondissement,4881.78,True,True,False,69387,4.836489663631474,45.73159895588698
2247 Quai Rambaud,Lyon 2e Arrondissement,9718.57,False,True,False,69382,4.815609222088793,45.744692094477955
7115 18 Rue du Beguin,Lyon 7e Arrondissement,3428.09,True,True,True,69387,4.850031927725222,45.74769168563668
3097 105 Rue Baraban,Lyon 3e Arrondissement,4830.63,True,True,True,69383,4.868773946027973,45.75797622492945
4040 25 Rue Chazière,Lyon 4e Arrondissement,45862.53,True,True,True,69384,4.815035745817817,45.77446105237349
57 Rue Jeanne Morel,Vaulx-en-Velin,146.0,True,False,False,69256,4.925801509642756,45.785354137441324
9 5059 Route de Strasbourg,Rillieux-la-Pape,83921.0,False,False,False,69286,4.911450985289135,45.83579892813327
