code_commune,nb_ventes,prix_median,prix_moyen,surface_moyenne,pieces_moyennes
69001,25,280000.0,223615.0,107.0,3.0
69002,24,94000.0,134785.0,75.0,1.0
69003,119,231000.0,311187.0,79.0,1.0
69004,24,244699.0,260873.0,86.0,2.0
69005,20,380000.0,301314.0,201.0,2.0
69006,258,133000.0,235563.0,80.0,1.0
69007,104,200000.0,317162.0,82.0,0.0
69008,12,39500.0,114767.0,74.0,1.0
69009,271,231000.0,272628.0,86.0,1.0
69010,193,227950.0,235016.0,76.0,1.0
69012,47,50000.0,139898.0,112.0,1.0
69013,219,302000.0,336271.0,162.0,1.0
69014,68,238174.0,182506.0,76.0,1.0
69016,19,2880.0,51238.0,68.0,0.0
69017,40,155000.0,374463.0,82.0,1.0
69018,206,61000.0,117421.0,75.0,1.0
69019,368,211577.0,293608.0,78.0,1.0
69020,33,1050000.0,774691.0,81.0,1.0
69021,104,160000.0,190340.0,86.0,1.0
69022,24,464500.0,388977.0,74.0,1.0
69023,99,50000.0,107830.0,77.0,0.0
69024,161,290000.0,290125.0,92.0,1.0
69026,16,207500.0,192541.0,88.0,1.0
69027,410,265250.0,324199.0,81.0,1.0
69028,275,375980.0,633272.0,84.0,1.0
69029,1528,201664.0,491240.0,74.0,1.0
69030,34,100000.0,85948.0,68.0,1.0
69031,40,125000.0,136898.0,72.0,1.0
69032,40,212500.0,230624.0,81.0,1.0
69033,55,414800.0,417311.0,89.0,2.0
69034,1725,261500.0,500044.0,84.0,1.0
69035,81,6000.0,77391.0,73.0,0.0
69036,42,77500.0,114841.0,73.0,1.0
69037,55,170000.0,173783.0,104.0,1.0
69038,61,21000.0,104683.0,75.0,1.0
69039,50,91000.0,223669.0,75.0,1.0
69040,296,275475.0,626083.0,95.0,1.0
69042,52,150000.0,156402.0,73.0,0.0
69043,326,384850.0,523644.0,91.0,1.0
69044,212,515512.0,610373.0,87.0,2.0
69045,68,177300.0,280404.0,76.0,1.0
69046,171,347850.0,408317.0,82.0,1.0
69047,37,496450.0,550822.0,83.0,1.0
69049,188,276000.0,307618.0,81.0,1.0
69050,129,125000.0,162291.0,74.0,1.0
69051,87,99238.0,87287.0,70.0,0.0
69052,100,380000.0,503664.0,115.0,2.0
69053,48,82000.0,104464.0,77.0,1.0
69054,23,170000.0,142957.0,74.0,1.0
69055,99,220000.0,309536.0,83.0,1.0
69056,73,308820.0,310816.0,91.0,2.0
69057,19,342600.0,272716.0,79.0,1.0
69058,72,25273.0,115241.0,76.0,1.0
69059,49,307000.0,319834.0,81.0,2.0
69060,134,30000.0,75949.0,86.0,0.0
69061,41,37995.0,96530.0,78.0,1.0
69062,53,70000.0,102786.0,72.0,1.0
69063,182,617750.0,783406.0,95.0,1.0
69064,127,160000.0,168932.0,86.0,1.0
69065,62,248370.0,193540.0,76.0,1.0
69066,448,105000.0,122023.0,96.0,1.0
69067,79,140000.0,187735.0,79.0,1.0
69068,67,259200.0,282846.0,80.0,1.0
69069,447,320055.0,435686.0,95.0,1.0
69070,67,125000.0,142800.0,79.0,1.0
69071,49,770000.0,582367.0,83.0,2.0
69072,404,437706.0,575164.0,100.0,1.0
69074,49,210000.0,304588.0,72.0,1.0
69075,19,12280.0,40959.0,74.0,1.0
69076,57,507000.0,547925.0,95.0,2.0
69077,36,34500.0,115967.0,78.0,1.0
69078,46,208000.0,184365.0,77.0,1.0
69080,62,180000.0,180996.0,76.0,1.0
69081,554,347700.0,493423.0,114.0,1.0
69082,33,23800.0,60493.0,71.0,0.0
69083,39,239398.0,252109.0,89.0,2.0
