date_mutation,valeur_fonciere,code_commune,nom_commune,surface_reelle_bati,nombre_pieces_principales,type_local,prix_m2,prix_m2_median_commune,prix_m2_moyen_commune,evolution_2022_2024_%
2022-01-03,660000.0,69384,Lyon 4e Arrondissement,120.0,5.0,Appartement,5500.0,5359.343434343435,5615.327710888151,-13.903638841768199
2022-01-06,415000.0,69286,Rillieux-la-Pape,103.0,6.0,Maison,4029.126213592233,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-01-11,444250.0,69071,Curis-au-Mont-d'Or,108.0,4.0,Maison,4113.425925925926,4643.038949275362,5288.600113501472,-7.777643198090703
2022-01-06,170000.0,69385,Lyon 5e Arrondissement,68.0,4.0,Appartement,2500.0,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-06,345000.0,69034,Caluire-et-Cuire,77.0,4.0,Appartement,4480.519480519481,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-13,520000.0,69384,Lyon 4e Arrondissement,92.0,4.0,Appartement,5652.173913043478,5359.343434343435,5615.327710888151,-13.903638841768199
2022-01-14,435000.0,69034,Caluire-et-Cuire,92.0,4.0,Appartement,4728.260869565217,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-05,314550.0,69034,Caluire-et-Cuire,90.0,4.0,Appartement,3495.0,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-10,543079.0,69381,Lyon 1er Arrondissement,96.0,5.0,Appartement,5657.072916666667,5482.020030234316,5644.792815056789,-14.381572653186195
2022-01-06,421500.0,69034,Caluire-et-Cuire,103.0,5.0,Appartement,4092.233009708738,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-14,465700.0,69278,Genay,128.0,5.0,Maison,3638.28125,3800.0,4087.4965588400064,-10.065122474192872
2022-01-14,325000.0,69389,Lyon 9e Arrondissement,69.0,4.0,Appartement,4710.144927536232,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-11,250800.0,69034,Caluire-et-Cuire,91.0,4.0,Appartement,2756.043956043956,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-14,275000.0,69034,Caluire-et-Cuire,68.0,4.0,Appartement,4044.1176470588234,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-07,708000.0,69385,Lyon 5e Arrondissement,196.0,6.0,Appartement,3612.2448979591836,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-04,247000.0,69068,Couzon-au-Mont-d'Or,95.0,5.0,Appartement,2600.0,4000.0,4455.590162927377,-1.7984532828282793
2022-01-07,315000.0,69389,Lyon 9e Arrondissement,69.0,4.0,Appartement,4565.217391304348,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-14,641070.0,69384,Lyon 4e Arrondissement,133.0,6.0,Appartement,4820.075187969925,5359.343434343435,5615.327710888151,-13.903638841768199
2022-01-17,239550.0,69389,Lyon 9e Arrondissement,77.0,5.0,Appartement,3111.038961038961,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-11,233600.0,69034,Caluire-et-Cuire,74.0,4.0,Appartement,3156.7567567567567,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-12,562000.0,69034,Caluire-et-Cuire,121.0,4.0,Appartement,4644.628099173554,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-12,331000.0,69385,Lyon 5e Arrondissement,104.0,5.0,Appartement,3182.6923076923076,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-10,340000.0,69034,Caluire-et-Cuire,79.0,5.0,Appartement,4303.797468354431,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-12,288000.0,69034,Caluire-et-Cuire,80.0,4.0,Appartement,3600.0,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-17,293000.0,69385,Lyon 5e Arrondissement,82.0,4.0,Appartement,3573.170731707317,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-12,292985.0,69389,Lyon 9e Arrondissement,83.0,4.0,Appartement,3529.9397590361446,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-21,235000.0,69389,Lyon 9e Arrondissement,80.0,4.0,Appartement,2937.5,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-05,1050000.0,69382,Lyon 2e Arrondissement,200.0,5.0,Appartement,5250.0,5824.253731343284,6026.202426689113,-12.844490198533132
2022-01-13,318550.0,69034,Caluire-et-Cuire,67.0,4.0,Appartement,4754.477611940299,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-19,346500.0,69087,Fontaines-Saint-Martin,105.0,4.0,Appartement,3300.0,4663.244047619048,4920.537530329489,-23.58927648578811
2022-01-26,372000.0,69385,Lyon 5e Arrondissement,95.0,4.0,Appartement,3915.7894736842104,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-14,257000.0,69286,Rillieux-la-Pape,91.0,4.0,Appartement,2824.1758241758243,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-01-14,274000.0,69286,Rillieux-la-Pape,103.0,4.0,Appartement,2660.1941747572814,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-01-17,570000.0,69381,Lyon 1er Arrondissement,110.0,4.0,Appartement,5181.818181818182,5482.020030234316,5644.792815056789,-14.381572653186195
2022-01-24,425000.0,69286,Rillieux-la-Pape,122.0,5.0,Maison,3483.6065573770493,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-01-12,364689.0,69389,Lyon 9e Arrondissement,94.0,5.0,Appartement,3879.6702127659573,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-20,608650.0,69385,Lyon 5e Arrondissement,145.0,6.0,Maison,4197.586206896552,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-21,512650.0,69381,Lyon 1er Arrondissement,85.0,4.0,Appartement,6031.176470588235,5482.020030234316,5644.792815056789,-14.381572653186195
2022-01-05,608200.0,69034,Caluire-et-Cuire,128.0,4.0,Appartement,4751.5625,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-18,350000.0,69034,Caluire-et-Cuire,90.0,4.0,Appartement,3888.8888888888887,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-28,289200.0,69286,Rillieux-la-Pape,77.0,4.0,Appartement,3755.844155844156,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-01-14,334000.0,69389,Lyon 9e Arrondissement,97.0,4.0,Appartement,3443.298969072165,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-06,500000.0,69033,Cailloux-sur-Fontaines,93.0,4.0,Maison,5376.344086021505,4822.294727744165,4877.46676242537,-12.857177915500174
2022-01-14,388800.0,69034,Caluire-et-Cuire,115.0,6.0,Appartement,3380.8695652173915,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-24,592100.0,69381,Lyon 1er Arrondissement,108.0,4.0,Appartement,5482.407407407408,5482.020030234316,5644.792815056789,-14.381572653186195
2022-01-18,393400.0,69389,Lyon 9e Arrondissement,83.0,4.0,Appartement,4739.759036144578,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-17,364520.0,69034,Caluire-et-Cuire,91.0,4.0,Appartement,4005.714285714286,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-19,391000.0,69382,Lyon 2e Arrondissement,98.0,4.0,Appartement,3989.795918367347,5824.253731343284,6026.202426689113,-12.844490198533132
2022-01-27,250000.0,69385,Lyon 5e Arrondissement,66.0,4.0,Appartement,3787.878787878788,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-14,286000.0,69385,Lyon 5e Arrondissement,64.0,4.0,Appartement,4468.75,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-26,307500.0,69385,Lyon 5e Arrondissement,88.0,4.0,Appartement,3494.318181818182,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-24,499000.0,69384,Lyon 4e Arrondissement,90.0,4.0,Appartement,5544.444444444444,5359.343434343435,5615.327710888151,-13.903638841768199
2022-02-01,450000.0,69034,Caluire-et-Cuire,111.0,6.0,Appartement,4054.054054054054,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-28,416538.0,69385,Lyon 5e Arrondissement,105.0,4.0,Appartement,3967.0285714285715,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-28,432700.0,69389,Lyon 9e Arrondissement,109.0,5.0,Appartement,3969.7247706422017,4189.816816816817,4239.884817563502,-8.92518467397693
2022-01-12,305000.0,69034,Caluire-et-Cuire,82.0,4.0,Appartement,3719.512195121951,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-26,254000.0,69286,Rillieux-la-Pape,86.0,4.0,Appartement,2953.4883720930234,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-01-31,365000.0,69385,Lyon 5e Arrondissement,80.0,4.0,Appartement,4562.5,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-31,538050.0,69385,Lyon 5e Arrondissement,181.0,4.0,Appartement,2972.6519337016575,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-19,353440.0,69034,Caluire-et-Cuire,90.0,4.0,Appartement,3927.1111111111113,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-10,282790.0,69034,Caluire-et-Cuire,65.0,4.0,Appartement,4350.615384615385,4327.669902912621,4743.435694192147,-8.248797845384424
2022-01-25,525000.0,69384,Lyon 4e Arrondissement,104.0,4.0,Appartement,5048.076923076923,5359.343434343435,5615.327710888151,-13.903638841768199
2022-01-28,408000.0,69384,Lyon 4e Arrondissement,83.0,4.0,Appartement,4915.6626506024095,5359.343434343435,5615.327710888151,-13.903638841768199
2022-01-10,314140.0,69143,Neuville-sur-Saône,102.0,5.0,Appartement,3079.8039215686276,4045.4670329670325,4254.269209927277,-24.834507794149047
2022-02-02,209000.0,69385,Lyon 5e Arrondissement,83.0,5.0,Appartement,2518.0722891566265,4210.909090909091,4552.419692824866,-11.950275418167209
2022-01-25,303510.0,69389,Lyon 9e Arrondissement,96.0,4.0,Appartement,3161.5625,4189.816816816817,4239.884817563502,-8.92518467397693
