FID,uai,nom,nature,code_nature,statut_public_prive,type_contrat_prive,code_type_contrat_prive,adresse,insee,code_postal,commune,telephone,fax,web,mail,restauration,hebergement,ulis,segpa,section_sport,section_internationale,appartenance_education_prioritaire,greta,siren_siret,nombre_d_eleves,effectifs_par_uai,fiche_onisep,precision_localisation,date_ouverture,etat,ministere_tutelle,multi_uai,pial,zone_animation_pedagogique,code_zone_animation_pedagogique,circonscription,ips_par_uai,datemaj,gid,the_geom
edu_education.college.4990,0690022Z,Collège de la Haute Azergues,COLLEGE,340,Public,SANS OBJET,99,582 route de Lyon ,69107,69870,Lamure-sur-Azergues,+33474030163,+33474030070,https://lahauteazergues-lamuresurazergues.ent.auvergnerhonealpes.fr/,ce.0690022z@ac-lyon.fr,true,false,true,false,false,false,,true,19690022900010,287,"{""2019-2020"": 357, ""2020-2021"": 363, ""2021-2022"": 341, ""2022-2023"": 350, ""2023-2024"": 333, ""2024-2025"": 287}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15068,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690022Z,,,Circonscription d'inspection du 1er degré de Tarare,"{""2016-2017"": 108, ""2017-2018"": 109.2, ""2018-2019"": 108.8, ""2019-2020"": 108.2, ""2020-2021"": 106.6, ""2021-2022"": 106.8, ""2022-2023"": 106, ""2023-2024"": 106.8, ""2024-2025"": 107.9}",2025-10-07,4990,POINT (4.493104935354752 46.05505830754876)
edu_education.college.4980,0690001B,Collège Eugénie de Pomey,COLLEGE,340,Public,SANS OBJET,99,10 rue des Fontaines BP 31 ,69006,69550,Amplepuis,+33474893342,+33474890106,https://eugeniedepomey-amplepuis.ent.auvergnerhonealpes.fr/,ce.0690001B@ac-lyon.fr,true,false,true,false,false,false,,false,19690001300018,292,"{""2019-2020"": 304, ""2020-2021"": 306, ""2021-2022"": 314, ""2022-2023"": 296, ""2023-2024"": 294, ""2024-2025"": 292}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14538,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690001B,,,Circonscription d'inspection du 1er degré de Tarare,"{""2016-2017"": 97.8, ""2017-2018"": 97.9, ""2018-2019"": 95.2, ""2019-2020"": 96.1, ""2020-2021"": 98.2, ""2021-2022"": 98.3, ""2022-2023"": 104.4, ""2023-2024"": 102.6, ""2024-2025"": 102}",2025-10-07,4980,POINT (4.334419897679285 45.97206389338844)
edu_education.college.5333,0694279B,Collège privé Notre Dame Site Claudine Thévenet,COLLEGE,340,Privé,CONTRAT ASSOCIATION PARTIE DES CLASSES,31,270 route Henri Fessy ST JEAN D ARDIERES 69220 BELLEVILLE EN BEAUJOLAIS,69019,69220,Belleville-en-Beaujolais,+33481150030,,,collegenotredame-belleville@csnd.fr,false,false,false,false,,,,false,77976658300073,459,"{""2021-2022"": 29, ""2022-2023"": 434, ""2023-2024"": 453, ""2024-2025"": 459}",,Numéro de rue,2016-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690585L,,,,"{""2021-2022"": 107, ""2022-2023"": 109.8, ""2023-2024"": 110, ""2024-2025"": 109.5}",2025-10-07,5333,POINT (4.709041447693256 46.11597543712845)
edu_education.college.5358,0694497N,Collège Gilbert Chabroux,COLLEGE,340,Public,SANS OBJET,99,35 rue Bourgchanin ,69266,69110,Villeurbanne,+33487648720,,https://collegechabroux.blogs.laclasse.com/,ce.0694497n@ac-lyon.fr,true,false,true,false,true,false,REP,false,20009759000018,599,"{""2022-2023"": 268, ""2023-2024"": 443, ""2024-2025"": 599}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22929,Numéro de rue,2022-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691664J,,,,"{""2022-2023"": 83.7, ""2023-2024"": 85.2, ""2024-2025"": 85.8}",2025-10-07,5358,POINT (4.9027324984989455 45.76567823174629)
edu_education.college.5359,0694498P,Ecole secondaire privée institut de gestion Sociale des Armées,COLLEGE,340,Privé,HORS CONTRAT,10,6 rue Saint Maurice 69580 SATHONAY VILLAGE,69293,69580,Sathonay-Village,+33478221532,,,lmarechal@igesa.fr,true,false,false,false,,,,false,,,,,Numéro de rue,2021-10-09,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5359,POINT (4.880167433997411 45.83053916693582)
edu_education.college.5360,0694499R,Ecole secondaire privée Collège au carré,COLLEGE,340,Privé,HORS CONTRAT,10,29 avenue Antoine de St Exupéry 69100 VILLEURBANNE,69266,69100,Villeurbanne,+33683345342,,,collegeaucarre@gmail.com,true,false,false,false,,,,false,,,,,Numéro de rue,2021-10-19,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5360,POINT (4.8776126140425795 45.75919405874968)
edu_education.college.5365,0694596W,Ecole secondaire privée Montessori'sGones,COLLEGE,340,Privé,HORS CONTRAT,10,7 avenue Birmingham 69004 LYON,69384,69004,Lyon 4e Arrondissement,+33782939784,,,montessori.gones@gmail.com,true,false,false,false,,,,false,81758513600010,,,,Numéro de rue,2023-08-17,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5365,POINT (4.812414668594059 45.77537565059194)
edu_education.college.5368,0694658N,Collège Jean d'Ormesson,COLLEGE,340,Public,SANS OBJET,99,1 chemin de sous-dormont ,69277,69740,Genas,,,,ce.0694658n@ac-lyon.fr,false,false,false,false,false,false,,false,93999044600014,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25003,Numéro de rue,2024-10-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0693331W,,,,,2025-10-07,5368,POINT (5.024036207819844 45.72510241605994)
edu_education.college.5371,0694665W,Collège privé La Plume Bleue - Union européenne pour l'enseignement privé musulman,COLLEGE,340,Privé,HORS CONTRAT,10,466 rue CHARLES SEVE 69400 VILLEFRANCHE SUR SAONE,69264,69400,Villefranche-sur-Saône,+33770280588,,,emre.demirci@ecolelaplumebleue.fr,false,false,false,false,,,,false,85105533500018,,,,Numéro de rue,2024-10-26,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5371,POINT (4.747469234215421 45.97690962915795)
edu_education.college.5372,0694738A,Ecole secondaire privée La Fourmi,COLLEGE,340,Privé,HORS CONTRAT,10,16 rue JEAN DESPARMET 69008 LYON,69388,69008,Lyon 8e Arrondissement,+33603975265,,,sophiejery@gmail.com,true,false,false,false,,,,false,39853414900016,,,,,2023-06-10,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5372,POINT (4.877736960764198 45.73584402076989)
