FID,uid,id_ariane,nom,num,numvoie,voie,codepost,commune,code_insee,reglement,surf_tot_m2,gestion,ann_ouvert,clos,openinghoursspecification,precision_horaires,acces,circulation,label,type_equip,eau,toilettes,chien,esp_can,photo,gid,the_geom,openinghours,last_update_fme,horaires
com_donnees_communales.comparcjardin_1_0_0.371,PAR-69204-001,,Parc historique de Beauregard,1,,Rue Edouard Millaud,69230,Saint-Genis-Laval,69204,,36358.95,Commune,,oui,,,Piéton,,non,Édifice|Fontaine|Jardin à l'anglaise|Jardin potager,oui,oui,Tenus en laisse,Non,,371,"MULTIPOLYGON (((4.786552 45.69293704090367, 4.786908 45.69383004090358, 4.7876199999999995 45.69369404090359, 4.787762 45.69409604090355, 4.787778 45.69414104090355, 4.787955 45.69411604090356, 4.788499000000001 45.694004040903565, 4.788525 45.694041040903564, 4.788964999999999 45.69395704090357, 4.788166 45.691908040903776, 4.787708 45.69199004090376, 4.787624999999999 45.691710040903786, 4.786135000000001 45.691964040903756, 4.786552 45.69293704090367)))","[""Mo-Su 08:00-18:00""]",2022-03-31T14:13:25.31,
com_donnees_communales.comparcjardin_1_0_0.372,PAR-69204-002,,Parc de la Maison des Champs,2,130,Avenue Georges Clemenceau,69230,Saint-Genis-Laval,69204,,4506.04,Commune,,oui,,selon activités,Piéton,,non,Terrain de pétanque,non,non,Tenus en laisse,Propreté,,372,"MULTIPOLYGON (((4.792575 45.69654604090331, 4.792666 45.696501040903314, 4.793019 45.69635704090333, 4.793083000000001 45.69640404090333, 4.793403 45.696266040903325, 4.793508 45.696273040903336, 4.793887 45.69643404090332, 4.793174999999999 45.69678604090328, 4.793172 45.697083040903266, 4.792903999999999 45.69715904090325, 4.792742999999999 45.6968170409033, 4.792575 45.69654604090331)))","[""Mo-Su 08:00-18:00""]",2022-03-31T14:13:25.63,
com_donnees_communales.comparcjardin_1_0_0.76,PAR-69385-05110,S8220,Jardin André Malraux,5110,,Place des Minimes,69005,Lyon 5e Arrondissement,69385,oui,3334.82,Autre,,oui,,,Piéton,,non,Fontaine,oui,non,Oui,Non,0,76,"MULTIPOLYGON (((4.821792696554102 45.758162063601254, 4.821313512799508 45.758257397565366, 4.8212841143511245 45.758262818296934, 4.8211986969784695 45.75827705593875, 4.82117918979563 45.75830202866736, 4.8211802069316745 45.75830561245185, 4.821181364448079 45.75830550392073, 4.821312008587116 45.75871904021212, 4.821471726709946 45.75876679411039, 4.821499444253923 45.75885563199747, 4.821762406165646 45.75880885072463, 4.821844736009422 45.75884938313568, 4.821917255565963 45.75883760161301, 4.822026984006492 45.7587016518258, 4.8218769885097466 45.75865617305003, 4.821813499544484 45.75844442576509, 4.822062052423513 45.75840957472017, 4.821878130363494 45.75835266908419, 4.82183781117653 45.758224432337464, 4.821880491025324 45.758208448578394, 4.821845562347402 45.7581784973535, 4.821792696554102 45.758162063601254)))",[],2025-07-25T08:55:31.762,
com_donnees_communales.comparcjardin_1_0_0.84,PAR-69386-06073,S8227,Jardin Cardinal Jean Villot,6073,,Rue Tête d'Or,69006,Lyon 6e Arrondissement,69386,oui,2094.41,Espaces Verts,,oui,"[{""opens"": ""8:00"", ""closes"": ""22:00"", ""dayOfWeek"": [""http://schema.org/Monday"", ""http://schema.org/Tuesday"", ""http://schema.org/Wednesday"", ""http://schema.org/Thursday"", ""http://schema.org/Friday"", ""http://schema.org/Saturday"", ""http://schema.org/Sunday""]}]",,Piéton,,non,Aire de jeux,oui,non,Non,Non,0,84,"MULTIPOLYGON (((4.8520253928748955 45.76637067128756, 4.852035712315027 45.76637158334846, 4.852436242229695 45.76640871443195, 4.8524994484925505 45.76641452557462, 4.852841798964454 45.766446212270026, 4.852854187718565 45.766447360567795, 4.852803716632627 45.766708739424104, 4.852798564776392 45.76673546402904, 4.851972962725626 45.76665827229894, 4.851984924032503 45.766592375865685, 4.8520253928748955 45.76637067128756)))",[],2025-07-25T08:55:31.825,
com_donnees_communales.comparcjardin_1_0_0.131,PAR-69388-08138,S8393,Jardin du Presbytère,8138,7,Rue du Presbytere,69008,Lyon 8e Arrondissement,69388,oui,1330.87,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,non,non,Non,Non,0,131,"MULTIPOLYGON (((4.8519639134066805 45.73528218546963, 4.8523000396742 45.73530614190586, 4.852334727950747 45.735274885971045, 4.852390897376082 45.735278741175726, 4.852410229601752 45.735137302055264, 4.852421771271595 45.73505899171486, 4.852429324510037 45.735000096920245, 4.852436469777401 45.73494435886442, 4.852388042624906 45.73494145760458, 4.852094686343376 45.73492391510336, 4.852031200855628 45.73492026891129, 4.85201187738407 45.734918963565, 4.8519639134066805 45.73528218546963)))",[],2025-07-25T08:55:31.842,
com_donnees_communales.comparcjardin_1_0_0.139,PAR-69387-07105,S8170,Jardin Garibaldi Berthelot,7105,390,Rue Garibaldi,69007,Lyon 7e Arrondissement,69387,oui,2037.58,Espaces Verts,,non,,,Piéton,,non,Aire de jeux,non,non,Non,Non,0,139,"MULTIPOLYGON (((4.846837066277471 45.74433417665567, 4.846792825222206 45.744349070404496, 4.846538850933233 45.74444715652277, 4.846535084444092 45.74444244997214, 4.846538822651438 45.7444410405165, 4.846544133150042 45.74432718749785, 4.846518273330886 45.7443265273011, 4.846536469555538 45.743862899243936, 4.846642174718045 45.74382918718341, 4.847045893404542 45.74435171117956, 4.846888658931039 45.744401515767024, 4.846837066277471 45.74433417665567)))",[],2025-07-25T08:55:31.843,
com_donnees_communales.comparcjardin_1_0_0.252,PAR-69386-06049,S8219,Square de l'Ossuaire,6049,147,Rue de Créqui,69006,Lyon 6e Arrondissement,69386,oui,2642.52,Mairie,,oui,,,Piéton,,non,,non,non,Non,Non,0,252,"MULTIPOLYGON (((4.847662857999001 45.76420301363675, 4.847037131191092 45.764144996405996, 4.847012927288321 45.764276072638765, 4.847010999429549 45.764276103934314, 4.847008949813179 45.76428410240864, 4.847012034387663 45.764284052335775, 4.846995846563115 45.76436599218995, 4.8469939187012185 45.76436602348523, 4.846991869079095 45.76437402195915, 4.846994958129969 45.76437410681759, 4.846971135130554 45.764505041848444, 4.847597155652139 45.76456008465915, 4.8477125663685765 45.76456991081532, 4.847811759219384 45.76457901021344, 4.847875945720302 45.76424207918058, 4.847880993937066 45.76424307722041, 4.847883097956288 45.764225087588514, 4.847777864695581 45.76421599635686, 4.847777833382602 45.76421505184117, 4.847662857999001 45.76420301363675)))",[],2025-07-25T08:55:31.845,
com_donnees_communales.comparcjardin_1_0_0.68,PAR-69286-008,,Parc des Horizons,8,10,Boulevard De Lattre de Tassigny,69140,Rillieux-la-Pape,69286,oui,10804,Commune,2015,non,[],,Piéton / Cycle / Motorisé,Piétonne,non,Aire de jeux / Terrain Sportif,oui,oui,Tenus,non,,68,"MULTIPOLYGON (((4.90440761928713 45.81202846678802, 4.904480309046979 45.812009874181015, 4.904535806694964 45.81198370751692, 4.904614352427628 45.81197293104429, 4.9046952768004175 45.811963688850625, 4.904766150091121 45.81194218545454, 4.9048352555109185 45.811901406030735, 4.904835083257132 45.811830425630056, 4.904827457231531 45.81180531469272, 4.9048004478655525 45.81174109282623, 4.904759480777314 45.811664485171725, 4.904686045895726 45.811627855724666, 4.904666785161928 45.811602467559474, 4.904659727478193 45.811517877489635, 4.904672124151494 45.81146827061459, 4.904672124151494 45.81146827061459, 4.904706787502546 45.81143385062973, 4.904667558269436 45.811349097108426, 4.904591800909522 45.81128671877911, 4.904356209677893 45.811227087733876, 4.90418072992231 45.811218808158685, 4.903848626872803 45.811206917793015, 4.903276504286764 45.811156522074356, 4.903303872435923 45.81122023690969, 4.903277678513521 45.811296171496764, 4.903241167487209 45.81138611958774, 4.903190226925582 45.8114750505464, 4.90321204192906 45.81163952058274, 4.903210214269931 45.81174398833711, 4.90324949000996 45.81184021944139, 4.903287777319211 45.81190752662255, 4.903381941617241 45.8119776746859, 4.903470711182988 45.812047912849565, 4.903506168907736 45.812085068547624, 4.903571689519028 45.81215947009373, 4.903685965608426 45.812133652464205, 4.904248876695032 45.81207265131367, 4.90440761928713 45.81202846678802)))",[],2024-07-08T16:04:53.072,
com_donnees_communales.comparcjardin_1_0_0.637,PAR-69386-56130,,Square Françoise Fayolle,56130,2,Rue Barème,69006,Lyon 6e Arrondissement,69386,,,Espaces Verts,,,,,,,,,,,,,,637,"MULTIPOLYGON (((4.842589066329906 45.77418265256713, 4.842294307548478 45.77415433925766, 4.842513623172407 45.77446842426034, 4.842514041302447 45.77446897398038, 4.84251451276801 45.77446950214536, 4.842515035310747 45.77447000622539, 4.84251560642766 45.774470483805835, 4.842516223383069 45.77447093259908, 4.842516883221725 45.774471350455435, 4.842517582782973 45.77447173537329, 4.842518318715879 45.774472085508904, 4.842519087495287 45.774472399185086, 4.8425198854387075 45.774472674899314, 4.842520708723941 45.77447291133091, 4.842521553407426 45.77447310734737, 4.842522415443076 45.774473262009714, 4.8425232907017 45.774473374577184, 4.842524174990762 45.77447344451049, 4.842525064074472 45.7744734714747, 4.842525953694079 45.77447345534063, 4.842526839588253 45.77447339618559, 4.842527717513519 45.77447329429292, 4.842528583264576 45.774473150150676, 4.8425294326944215 45.774472964449316, 4.84253026173425 45.774472738078366, 4.84253106641292 45.77447247212218, 4.842531842875978 45.77447216785463, 4.842532587404127 45.77447182673326, 4.842533296431041 45.77447145039198, 4.842533966560447 45.77447104063355, 4.84253459458239 45.774470599420646, 4.842535177488615 45.77447012886682, 4.842535712486974 45.77446963122596, 4.842536197014799 45.77446910888181, 4.84253662875118 45.77446856433642, 4.842537005628081 45.774468000198226, 4.84253732584024 45.77446741916944, 4.842537587853827 45.77446682403323, 4.8425377904137905 45.77446621764035, 4.842537932549855 45.7744656028954, 4.842543416156866 45.77443525932817, 4.842549300781973 45.77440269668813, 4.842589066329906 45.77418265256713)))",,2025-07-25T08:55:32.154,
com_donnees_communales.comparcjardin_1_0_0.395,PAR-69266-040,,Espace de vie de l'Abbe Bordes,40,33,Rue Armand,69100,Villeurbanne,69266,Oui,3423.62539558,Commune,1989,Oui,,,Piéton,Piéton,Non,Fontaine-Terrain de pétanque-Aire de jeux,Oui,Non,Non,Non,0,395,"MULTIPOLYGON (((4.886611987507322 45.77980299705135, 4.886371976696313 45.78026890862901, 4.8865174046770825 45.78031092279332, 4.886737761554552 45.78036025214666, 4.8867409984566725 45.780353657954514, 4.886765898143971 45.78035963539526, 4.886786205256947 45.78031735725691, 4.886817716292444 45.78032484513886, 4.886933476908976 45.78008531751855, 4.886908583418665 45.78007952001972, 4.886967823019655 45.77995622350875, 4.887205487753374 45.780011864912254, 4.887344551888232 45.78004646017769, 4.887366735030263 45.78000262076008, 4.887251841861062 45.779975274984494, 4.887302984728318 45.77986831222345, 4.887423304221209 45.77989670919532, 4.887431668179299 45.7798986954632, 4.887508221759915 45.77974055207595, 4.887495356333828 45.77973843076186, 4.887497461891868 45.779703454795566, 4.887424476602172 45.77967765524609, 4.887363713577542 45.77968283637471, 4.887288224829988 45.779652619496545, 4.887023566915781 45.77955830236159, 4.886805689743586 45.77986332816499, 4.886611987507322 45.77980299705135)))","[""Oct-Mar 08:00-19:00"", ""Apr-Sep 08:00-22:00""]",2022-06-07T17:46:57.73,Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00
