FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee,zone
tcl_sytral.tclarret.3281,3281,Linossier - Richan,S4A:R,true,false,false,26523,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.8373525398799995 45.77949592309458),15TER RUE LOUIS THEVENET,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.1,1,24 Août,"87:A,ZI1:A",true,false,false,24616,2025-10-17T05:05:48.026,2025-10-17T05:05:48.026,POINT (4.909324275377001 45.68286878187065),9 AVENUE DU 24 AOUT 1944,,Corbas,69273,1
tcl_sytral.tclarret.3282,3282,Place Cdt Arnaud,"C13:A,PL2:A",true,false,false,26524,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.834530774781 45.77996376971251),49 RUE DE BELFORT,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.3284,3284,Maurice Scève,S4A:R,true,false,false,26525,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.836884357859 45.77712100850085),37 RUE D IVRY,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.3285,3285,Maison des Canuts,S4A:R,true,false,false,26526,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.833544046147 45.77719801867383),11 RUE D IVRY,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.3286,3286,Georges Roudil,39:A,true,false,false,26527,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.886291782366 45.6916041292948),19 BOULEVARD DE JODINO,,Vénissieux,69259,1
tcl_sytral.tclarret.3287,3287,Georges Roudil,39:R,true,false,false,26528,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.887484063799 45.692549070037686),19 BOULEVARD DE JODINO,,Vénissieux,69259,1
tcl_sytral.tclarret.329,329,Caluire Centre,"33:A,38:A,JD209:R,S5:A",true,false,false,26531,2025-10-17T05:05:48.169,2025-10-17T05:05:48.169,POINT (4.84761697536 45.79980200509529),82 RUE JEAN MOULIN,,Caluire-et-Cuire,69034,1
tcl_sytral.tclarret.32942,32942,Mont Louis,66:R,true,false,false,26532,2025-10-17T05:05:48.169,2025-10-17T05:05:48.169,POINT (4.787960683822 45.790323922630364),1 AVENUE DE MONTLOUIS,,Champagne-au-Mont-d'Or,69040,1
tcl_sytral.tclarret.32962,32962,Grange Blanche,"24:A,24:R",true,false,false,26533,2025-10-17T05:05:48.169,2025-10-17T05:05:48.169,POINT (4.878539690791 45.74293478342756),1 PLACE D ARSONVAL,,Lyon 3e Arrondissement,69383,1
tcl_sytral.tclarret.1000,1000,Garanjou,C7:R,true,false,false,24617,2025-10-17T05:05:48.026,2025-10-17T05:05:48.026,POINT (4.816354044796 45.705215352192454),61 RUE AMPERE,,Oullins-Pierre-Bénite,69149,1
tcl_sytral.tclarret.10006,10006,Curie - Jules Guesde,"39:A,JD133:R",true,false,false,24618,2025-10-17T05:05:48.026,2025-10-17T05:05:48.026,POINT (4.887283956868998 45.70924808248204),100 AVENUE JULES GUESDE,,Vénissieux,69259,1
tcl_sytral.tclarret.10007,10007,Curie - Jules Guesde,"39:R,JD133:A",true,false,false,24619,2025-10-17T05:05:48.026,2025-10-17T05:05:48.026,POINT (4.887365859502001 45.709249370610046),109 AVENUE JULES GUESDE,,Vénissieux,69259,1
tcl_sytral.tclarret.10008,10008,Pont de l'Université,JD972:R,true,false,false,24620,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.8345852432430005 45.75397594577938),22 QUAI DOCTEUR GAILLETON,,Lyon 2e Arrondissement,69382,1
tcl_sytral.tclarret.1001,1001,Garantèze,"15:A,18:A,JD267:R",true,false,false,24621,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.825549329165 45.67844993120407),41 RUE DAISY GEORGES MARTIN,,Irigny,69100,1
tcl_sytral.tclarret.10012,10012,Pressensé - Marrane,35:A,true,false,false,24622,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.865175997030999 45.72337800220061),130 AVENUE FRANCIS DE PRESSENSE,,Vénissieux,69259,1
tcl_sytral.tclarret.10017,10017,Francheville Bourg,"C20:A,C20E:A,JD211:R,JD982:R",true,false,false,24623,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.764481040525 45.73704384155718),1 RUE DE LA MAIRIE,,Francheville,69089,1
tcl_sytral.tclarret.10018,10018,Francheville Bourg,"C20:R,C20E:R,JD211:A,JD982:A",true,false,false,24624,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.764068269569 45.73671973418622),6 PLACE DU BOURG,,Francheville,69089,1
tcl_sytral.tclarret.1002,1002,Garantèze,"15:R,18:R,JD267:A,JD979:A",true,false,false,24625,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.825600234174001 45.678439800016086),32 RUE DAISY GEORGES MARTIN,,Irigny,69100,1
tcl_sytral.tclarret.3298,3298,Z.I. Château d'eau,"59:A,S8:A",true,false,false,26534,2025-10-17T05:05:48.169,2025-10-17T05:05:48.169,POINT (4.906327997727 45.82676704757615),135 RUE HELENE BOUCHER,,Rillieux-la-Pape,69286,1
tcl_sytral.tclarret.34109,34109,Chassieu Place,76:R,false,false,false,26626,2025-10-17T05:05:48.176,2025-10-17T05:05:48.176,POINT (4.968813297575001 45.737766440992104),5 AVENUE DU PROGRES,,Chassieu,69271,1
tcl_sytral.tclarret.10638,10638,Pont Churchill RD,"38:R,JD202:R,JD203:R",true,false,false,24859,2025-10-17T05:05:48.045,2025-10-17T05:05:48.045,POINT (4.840695769412001 45.77974548436656),60 MONTEE DE LA BOUCLE,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.10964,10964,Caluire Place Foch,"77:R,JD61:A",true,false,false,24948,2025-10-17T05:05:48.052,2025-10-17T05:05:48.052,POINT (4.850895703823 45.797718323843526),159 RUE PASTEUR,,Caluire-et-Cuire,69034,1
tcl_sytral.tclarret.10966,10966,Neuville,"82:R,84:R,JD185:A,R2:R",false,false,false,24949,2025-10-17T05:05:48.052,2025-10-17T05:05:48.052,POINT (4.838588172486 45.87592669806313),9 QUAI PASTEUR,,Neuville-sur-Saône,69143,1
tcl_sytral.tclarret.11089,11089,Caluire H. de V. Radiant,"33:A,38:A,JD206:R,S5:A",true,false,false,24990,2025-10-17T05:05:48.055,2025-10-17T05:05:48.055,POINT (4.843617697060999 45.79727786501458),74 RUE FRANCOIS PEISSEL,,Caluire-et-Cuire,69034,1
tcl_sytral.tclarret.40842,40842,Debourg,BRMB:A,true,false,false,29718,2025-10-17T05:05:48.229,2025-10-17T05:05:48.229,POINT (4.834041002366001 45.73196801063372),257 AVENUE JEAN JAURES,,Lyon 7e Arrondissement,69387,1
tcl_sytral.tclarret.10025,10025,La Dangereuse,"77:A,JD73:A",true,false,false,24626,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.878126002373 45.85337200684892),0 ROUTE DE SAINT TRIVIER,,Cailloux-sur-Fontaines,69033,1
tcl_sytral.tclarret.10026,10026,La Dangereuse,"77:R,JD73:R,JD74:A,JD76:R,JD79:R",true,false,false,24627,2025-10-17T05:05:48.027,2025-10-17T05:05:48.027,POINT (4.878006048147999 45.853338081337945),0 ROUTE DE SAINT TRIVIER,,Cailloux-sur-Fontaines,69033,1
tcl_sytral.tclarret.10126,10126,Reconnaissance - Balzac,"BRT3:R,C9:R",true,false,false,24656,2025-10-17T05:05:48.029,2025-10-17T05:05:48.029,POINT (4.885107914161999 45.75428965144135),107 ROUTE DE GENAS,,Villeurbanne,69266,1
tcl_sytral.tclarret.10129,10129,Dauphiné -Lacassagne,"25:A,C13:R,C16:A,JD981:A",true,false,false,24657,2025-10-17T05:05:48.029,2025-10-17T05:05:48.029,POINT (4.869017839753 45.75308751002347),49 AVENUE LACASSAGNE,,Lyon 3e Arrondissement,69383,1
tcl_sytral.tclarret.10363,10363,Décines Verlaine,"79:A,JD137:R",true,false,false,24757,2025-10-17T05:05:48.038,2025-10-17T05:05:48.038,POINT (4.941125978468001 45.75088206219371),97 RUE ELISEE RECLUS,,Décines-Charpieu,69275,1
tcl_sytral.tclarret.1063,1063,Gorgeat,"40:R,70:R",true,false,false,24857,2025-10-17T05:05:48.045,2025-10-17T05:05:48.045,POINT (4.839665042378 45.86859902480705),31 ROUTE DE LYON,,Neuville-sur-Saône,69143,1
tcl_sytral.tclarret.1064,1064,Grand Chassagnon,"60:A,JD22:A",false,false,false,24860,2025-10-17T05:05:48.045,2025-10-17T05:05:48.045,POINT (4.863758528804 45.701295482170835),8 RUE DU 19 MARS 1962,,Vénissieux,69259,1
tcl_sytral.tclarret.10680,10680,Ste Hélène,S1:R,false,false,false,24874,2025-10-17T05:05:48.046,2025-10-17T05:05:48.046,POINT (4.832002705498 45.75373633720341),28 RUE DE LA CHARITE,,Lyon 2e Arrondissement,69382,1
tcl_sytral.tclarret.10683,10683,Simon Maupin,S1:A,true,false,false,24875,2025-10-17T05:05:48.046,2025-10-17T05:05:48.046,POINT (4.833948284832001 45.75892279375685),99 RUE PRESIDENT EDOUARD HERRIOT,,Lyon 2e Arrondissement,69382,1
tcl_sytral.tclarret.10684,10684,Simon Maupin,S1:R,false,false,false,24876,2025-10-17T05:05:48.047,2025-10-17T05:05:48.047,POINT (4.833177475822 45.7583728578769),20 RUE GASPARIN,,Lyon 2e Arrondissement,69382,1
tcl_sytral.tclarret.33288,33288,Ste Foy Châtelain,90:A,false,false,false,26563,2025-10-17T05:05:48.171,2025-10-17T05:05:48.171,POINT (4.794688966704 45.736197298185274),45 RUE CHATELAIN,,Sainte-Foy-lès-Lyon,69202,1
tcl_sytral.tclarret.335,335,Caluire Thimonnier,ZI4:R,true,false,false,26579,2025-10-17T05:05:48.172,2025-10-17T05:05:48.172,POINT (4.869021038367 45.805115482923675),13 AVENUE BARTHELEMY THIMONNIER,,Caluire-et-Cuire,69034,1
tcl_sytral.tclarret.37459,37459,Paul Santy,"JD151:A,JD151:R,JD174:R,JD975:R",false,false,false,27009,2025-10-17T05:05:48.205,2025-10-17T05:05:48.205,POINT (4.771145377382001 45.771175318367504),37 AVENUE DU PROFESSEUR PAUL SANTY,,Écully,69081,1
tcl_sytral.tclarret.37460,37460,Trois Renards,"5:R,JD975:A",false,false,false,27010,2025-10-17T05:05:48.205,2025-10-17T05:05:48.205,POINT (4.773467209851999 45.76290702028641),4 AVENUE MARECHAL FOCH,,Tassin-la-Demi-Lune,69244,1
tcl_sytral.tclarret.37477,37477,Fontville,"JD174:R,JD174:A,JD841:R,JD841:A",false,false,false,27011,2025-10-17T05:05:48.205,2025-10-17T05:05:48.205,POINT (4.760877981636 45.77938904763259),21 CHEMIN DE LA PINEDE,,Écully,69081,1
tcl_sytral.tclarret.10945,10945,Cordeliers,"A32:A,A71:A,C23:A,JD972:R",true,false,false,24944,2025-10-17T05:05:48.051,2025-10-17T05:05:48.051,POINT (4.838479033692 45.76400008157328),23B QUAI JEAN MOULIN,,Lyon 2e Arrondissement,69382,1
tcl_sytral.tclarret.11195,11195,Marius Grosso,"16:R,ZI3:A",true,false,false,25005,2025-10-17T05:05:48.056,2025-10-17T05:05:48.056,POINT (4.930319245442999 45.7630119450324),8 RUE MARIUS GROSSO,,Vaulx-en-Velin,69256,1
tcl_sytral.tclarret.11213,11213,Gare Part-Dieu V.Merle,JD980:A,true,false,false,25010,2025-10-17T05:05:48.056,2025-10-17T05:05:48.056,POINT (4.857683477357999 45.761650832931544),39 BOULEVARD MARIUS VIVIER MERLE,,Lyon 3e Arrondissement,69383,1
tcl_sytral.tclarret.11215,11215,Maisons Neuves,"69:R,C11:A,C9:A",true,false,false,25011,2025-10-17T05:05:48.056,2025-10-17T05:05:48.056,POINT (4.876246028287001 45.75636599880113),22 RUE FREDERIC MISTRAL,,Lyon 3e Arrondissement,69383,1
tcl_sytral.tclarret.11222,11222,Eglise Demi-Lune,"45:A,55:R",true,false,false,25012,2025-10-17T05:05:48.056,2025-10-17T05:05:48.056,POINT (4.786606956589001 45.764166039698274),230 AVENUE BARTHELEMY BUYER,,Lyon 9e Arrondissement,69389,1
tcl_sytral.tclarret.11287,11287,Jaurès Blum,57:R,false,false,false,25037,2025-10-17T05:05:48.058,2025-10-17T05:05:48.058,POINT (4.970748281534 45.77120753376051),11 AVENUE LEON BLUM,,Décines-Charpieu,69275,1
tcl_sytral.tclarret.11390,11390,Claude Joseph Bonnet,"2:A,C13:R,C18:R",true,false,false,25067,2025-10-17T05:05:48.06,2025-10-17T05:05:48.06,POINT (4.821207513727 45.77436348000915),7 RUE PHILIPPE DE LASSALLE,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.1142,1142,Haute Roche Centre,17:R,true,false,false,25079,2025-10-17T05:05:48.061,2025-10-17T05:05:48.061,POINT (4.827773154241 45.700084248821966),34 AVENUE DE HAUTE ROCHE,,Oullins-Pierre-Bénite,69149,1
tcl_sytral.tclarret.11515,11515,Vaulx Les Grolières,"37:R,52:A,7:R,C3:R",true,false,false,25107,2025-10-17T05:05:48.063,2025-10-17T05:05:48.063,POINT (4.910386664738001 45.787513729725696),2 RUE LOUIS MICHOY,,Vaulx-en-Velin,69256,1
tcl_sytral.tclarret.11628,11628,Georges Levy,35:A,true,false,false,25122,2025-10-17T05:05:48.064,2025-10-17T05:05:48.064,POINT (4.868019436420999 45.71993110393396),162 AVENUE FRANCIS DE PRESSENSE,,Vénissieux,69259,1
tcl_sytral.tclarret.11629,11629,Georges Levy,35:R,true,false,false,25123,2025-10-17T05:05:48.065,2025-10-17T05:05:48.065,POINT (4.868095001685 45.72000104946595),145 AVENUE FRANCIS DE PRESSENSE,,Vénissieux,69259,1
tcl_sytral.tclarret.37484,37484,Grandvaux - Prieuré,"JD151:A,JD174:R,S15:A",false,false,false,27012,2025-10-17T05:05:48.205,2025-10-17T05:05:48.205,POINT (4.774503065761 45.77298999930431),0 CHEMIN DE GRANDVAUX,,Écully,69081,1
