FID,nom,idexterne,siret,datecreation,datemaj,gid,the_geom
adr_voie_lieu.adrenssup.1627,Institut d'Urbanisme,,,2000-10-24,2017-02-16,1627,"MULTIPOLYGON (((4.836198921651198 45.74612605111503, 4.836231990775064 45.74617384842186, 4.836193323119425 45.746186352945074, 4.8361779337343975 45.74619137149705, 4.836188626005954 45.74620766928414, 4.835966259898844 45.746278760438805, 4.835985219101442 45.746307975116885, 4.835938542773628 45.746323218886154, 4.835957785602355 45.74635323901005, 4.836199649455785 45.74625744252999, 4.83622698651159 45.7462990322227, 4.8362038544435455 45.74630705584261, 4.836207907422724 45.74631302055828, 4.836307014952045 45.746281629847836, 4.836378410381908 45.746384609697046, 4.836421771934711 45.7464482611668, 4.836423393732294 45.74645066504079, 4.8363205895797865 45.74648301555024, 4.8362772825314915 45.74641711310944, 4.836049208010394 45.74649054662435, 4.836088729577333 45.74655471021183, 4.8361356689496695 45.746539642141826, 4.836154747925742 45.74656858485379, 4.8363952806641 45.74649089989384, 4.836467405683668 45.74660430816451, 4.836227479424036 45.74668090345308, 4.836230021344774 45.74668392249077, 4.836082963438862 45.746730937518976, 4.8360062958207335 45.746612292214, 4.83601011478208 45.74661115054348, 4.835924391819523 45.74647906103029, 4.835923883810504 45.746479249234376, 4.835903628612873 45.746488756392196, 4.835868249117812 45.74643325609814, 4.8358881810549645 45.74642564420931, 4.835889454038642 45.746425263653805, 4.835825943192187 45.74632746638059, 4.835776392665444 45.7462593244744, 4.835775018981331 45.746256646580704, 4.835920791069172 45.74620965268688, 4.83592255020722 45.746212324357266, 4.836145053475028 45.74614150107651, 4.836146134659502 45.74614310366188, 4.836198921651198 45.74612605111503)))"
adr_voie_lieu.adrenssup.6742,Université Claude Bernard Lyon 1,,19691774400050,2000-10-23,2017-03-22,6742,"MULTIPOLYGON (((4.881668618747972 45.74023201786714, 4.882220594275177 45.74035473900457, 4.882216768743725 45.74036326263984, 4.8822056158792195 45.74039080826247, 4.882180889547685 45.74045034973197, 4.882159021699227 45.74050318363483, 4.882156553915139 45.74052527531549, 4.88228961790324 45.74055268423581, 4.882356414473964 45.74056660926791, 4.8824157022365045 45.740578948479666, 4.8824287009889575 45.74075838018505, 4.882479239771663 45.74076285387177, 4.882539321668049 45.7407682496134, 4.8824641478177835 45.74095166087148, 4.88237957448326 45.74115745848873, 4.882143236582285 45.741113218084344, 4.882159342286692 45.74135425072606, 4.882175872076381 45.741600226532, 4.882181825989926 45.741692831521966, 4.882200702760187 45.74198548025279, 4.882190345175597 45.7419870917185, 4.8821857928657995 45.74197789670383, 4.882181870767442 45.74196833124582, 4.882178196503286 45.741958491676, 4.882174396805768 45.7419487441853, 4.882170092334547 45.74193927505828, 4.882164918931772 45.74193072034534, 4.882158485111465 45.741922906518155, 4.882150429752229 45.74191655958011, 4.882144912510452 45.74191305074782, 4.882138762023405 45.74190982240501, 4.882132363704217 45.74190686817348, 4.882125717552835 45.74190418805313, 4.882118949003838 45.741901689964756, 4.882111807187885 45.741899558066706, 4.8821048059889485 45.74189778385487, 4.882097688464853 45.7418963715813, 4.882091882978342 45.74189574762585, 4.8820858266226015 45.741895307828415, 4.882079782412247 45.741895227843344, 4.882073744274537 45.7418953277643, 4.882067580702096 45.741895519764036, 4.882061294731184 45.74189589379577, 4.882055256593373 45.741895993715744, 4.882049089984518 45.74189609576132, 4.882044997129543 45.74189670351055, 4.881859768582449 45.74192721956609, 4.881850053354329 45.741928820372124, 4.881840768116443 45.741935544256926, 4.881830565362843 45.74194174330182, 4.881820240207643 45.74194812437782, 4.881809912014189 45.741954415499706, 4.881800363753091 45.741960963726214, 4.881791849331017 45.74196767485299, 4.881784891740655 45.741974810237274, 4.881780261809809 45.74198235712544, 4.881778075867192 45.74198995357945, 4.881777706736705 45.741998059993556, 4.881778631426456 45.74200641501078, 4.881780721465745 45.74201502075671, 4.881783462969845 45.742023885733914, 4.8817861984031 45.742032570804696, 4.881788673858624 45.74204117017353, 4.881790503922134 45.7420496902174, 4.88017252164754 45.74230478794267, 4.880043299148035 45.74224653184926, 4.879741094913823 45.741293351270045, 4.879799161499015 45.7411932078311, 4.880243113581279 45.74098651163806, 4.8816055302905195 45.740240351938276, 4.881668618747972 45.74023201786714)))"
adr_voie_lieu.adrenssup.3807,Ecole de Soins Infirmiers Esquirol,,,2002-12-04,2017-02-16,3807,"MULTIPOLYGON (((4.885476675929832 45.74204408213783, 4.885475145546351 45.74203303707764, 4.8854207873510225 45.741645753104955, 4.885465987251675 45.74161395257099, 4.885694351399902 45.741631317300886, 4.88577309315597 45.74163730200408, 4.885966914876256 45.74165190879858, 4.88607774925303 45.74166042122829, 4.886845702393579 45.741718606023916, 4.886841891865334 45.741788331984814, 4.886821975061304 45.74214561645411, 4.886807749586996 45.74239759235093, 4.885569084947173 45.742393383794436, 4.885521391017994 45.742362853276944, 4.885476675929832 45.74204408213783)))"
adr_voie_lieu.adrenssup.4507,EM Lyon Business School,,,2000-10-17,2017-02-16,4507,"MULTIPOLYGON (((4.764593104261123 45.78447947883761, 4.7645986414699895 45.78447966299376, 4.7646043157994535 45.78448011502377, 4.764609747227037 45.78448102081915, 4.764615058628341 45.78448219847501, 4.764619887075104 45.78448437361779, 4.764624195529968 45.784486376822, 4.76498998596838 45.78469994523528, 4.764784959936503 45.78485495425066, 4.764447412837975 45.78512703720672, 4.764423716092283 45.78514648453487, 4.764539084701529 45.785210846082116, 4.764444337108344 45.78529394482613, 4.764683101392485 45.785452693316245, 4.7647548509587105 45.78540298093309, 4.764968382783237 45.78591842995419, 4.764838551966476 45.7862788229072, 4.764829998192089 45.78630118552251, 4.7648219558724945 45.786323450207156, 4.764814422158905 45.7863455270055, 4.764807542726485 45.78636795365882, 4.764801177600264 45.78639037233756, 4.764795329630279 45.78641287299767, 4.764789873088507 45.786435547588475, 4.764785056583343 45.78645812225569, 4.76478076008564 45.78648086886024, 4.764777106475411 45.78650360549712, 4.764773967175191 45.78652633415986, 4.764771219306084 45.78654923675361, 4.764769108627722 45.78657194946825, 4.76476752080941 45.786594924076205, 4.764766573032702 45.786617798760936, 4.76476467745815 45.786955958001016, 4.7647556913174345 45.78782972687523, 4.764752993933759 45.78792732863914, 4.764740698128908 45.7880630591877, 4.7639308009482155 45.78813375237587, 4.763777147025761 45.7876079237671, 4.763448874523327 45.78769004980943, 4.763241924701208 45.78774410565968, 4.7631993088503926 45.78775520577239, 4.763048797703226 45.78777967705124, 4.7627873216353676 45.787822156596285, 4.762591501493744 45.78698782987967, 4.761993764756463 45.786766144402954, 4.762138282844344 45.78664987736536, 4.762433726721506 45.78641256349855, 4.763101736085098 45.785838638855786, 4.763335896372227 45.78564061171309, 4.76340384271242 45.78558042913043, 4.763839226241969 45.78517219342391, 4.764024357921263 45.78499409450916, 4.764092280349244 45.78492914186015, 4.7643594790113015 45.784677860442685, 4.764559034381064 45.78448819701777, 4.764566389084955 45.78448484300015, 4.764571217900526 45.78448296814023, 4.7645764466812075 45.78448153707936, 4.7645819440045845 45.78448046185496, 4.764587455572662 45.78447983640935, 4.764593104261123 45.78447947883761)))"
adr_voie_lieu.adrenssup.333,Université Jean Moulin Lyon 3,,,2000-10-13,2017-02-16,333,"MULTIPOLYGON (((4.860916657928226 45.746866376788496, 4.860964247280428 45.746882518711, 4.860971506153119 45.74690742072881, 4.8609727879841955 45.746907309753716, 4.860988732333313 45.74696519069978, 4.860987450500939 45.74696530167507, 4.861017840642193 45.74707082775982, 4.861019119474303 45.74707062683049, 4.8611054676058725 45.747385213878715, 4.861104457746924 45.7473857704191, 4.861181759071906 45.74766423430788, 4.861182768935125 45.74766367776682, 4.861203691818064 45.74773974779303, 4.861204459726727 45.747739645224925, 4.8613051584075855 45.74810664896067, 4.86132935214347 45.74819211573736, 4.86140743564104 45.748470836696306, 4.861495544910113 45.74878413461679, 4.861409737762414 45.74881316970057, 4.86132432800165 45.74884255822658, 4.861241843341194 45.748870998795546, 4.861185676322191 45.748890638424044, 4.861185377304373 45.74888938327753, 4.861027772846774 45.74894353356997, 4.861028059850347 45.74894442890222, 4.8609604608690375 45.74896821557846, 4.860960302354535 45.748967318143904, 4.860407675480664 45.74915744362916, 4.860407962475381 45.74915833896295, 4.860340724422903 45.74918139933647, 4.860340437429144 45.7491805040025, 4.860219326415198 45.74922262594039, 4.860193399849468 45.74923160020075, 4.860193555350961 45.749232407682655, 4.86004078051815 45.74928494754527, 4.860040493528676 45.74928405221057, 4.860011020235657 45.749294614472454, 4.859912354041402 45.74894980718781, 4.859453146380412 45.74735796585139, 4.859411848224684 45.74721823665854, 4.8594611531313445 45.747216440611346, 4.859461123130082 45.74721554107412, 4.859614129187113 45.74720862952069, 4.859614159190842 45.74720952905786, 4.859636762859286 45.747205019377034, 4.860384343150647 45.74705590020862, 4.860818355749471 45.746902276109694, 4.860818068759775 45.74690138077673, 4.860916657928226 45.746866376788496)))"
adr_voie_lieu.adrenssup.2382,Institut d'Etudes Politiques,,,2000-10-24,2017-02-16,2382,"MULTIPOLYGON (((4.835776392665444 45.7462593244744, 4.835825943192187 45.74632746638059, 4.835821744721482 45.746328794174886, 4.83581973750448 45.74632639651345, 4.835784108814235 45.746337501812455, 4.835533744872405 45.74641723417597, 4.835507794909401 45.74642557313233, 4.835497987583953 45.746428341458696, 4.835503411210392 45.74643689414205, 4.8354501097786695 45.74645395465889, 4.835397187841736 45.74647082902226, 4.835343626417185 45.74648780368132, 4.835338758200081 45.746480502058674, 4.835329055650661 45.74648254866238, 4.835302848659926 45.746490891718295, 4.835052483341299 45.74657062302145, 4.835016477773445 45.746582004161496, 4.834974200056974 45.74651608464269, 4.835295805191537 45.7464136035267, 4.8352937683831225 45.7464103063124, 4.835453167550623 45.74635940306274, 4.8354552102893145 45.746362880182915, 4.835776392665444 45.7462593244744)))"
adr_voie_lieu.adrenssup.426,Ecole Catholique des Arts et Métiers,,,2000-10-17,2017-02-16,426,"MULTIPOLYGON (((4.825065390501205 45.76279204063543, 4.825237897948475 45.76273527230727, 4.825582460402035 45.763051590419835, 4.8255395403738905 45.76306424930641, 4.825392081872539 45.76310846597256, 4.825414902073946 45.76314563057522, 4.825426588379807 45.763164793454834, 4.825357991404355 45.76318263431719, 4.825274352484349 45.76320449652183, 4.825271165940287 45.763205357657526, 4.825243497542882 45.76321255165385, 4.8252462565181595 45.763218267504236, 4.8252623953565585 45.763251669245875, 4.8252986565348825 45.76332623896718, 4.82530806293325 45.76335038852949, 4.825320836690303 45.763383124234906, 4.825361370554533 45.76348606593795, 4.8253500056651575 45.763488498309826, 4.8253570935542065 45.76350467491072, 4.825361627526582 45.763548883021635, 4.8253734847667475 45.76357326326485, 4.8253837360286544 45.763599649310265, 4.825400738629708 45.763639787306026, 4.82542365075066 45.76369153071374, 4.8254379790901645 45.763736391699275, 4.825442908651633 45.7637534129386, 4.825412870605341 45.763758934957096, 4.825420611107441 45.76377933116535, 4.825427924798917 45.76379847419655, 4.825370505300558 45.7638042554964, 4.82536950987364 45.76381705171127, 4.82535714394861 45.763843890610026, 4.825333264298969 45.76385291387581, 4.825315653662085 45.76382169579585, 4.8252879779778555 45.7638247498353, 4.82530696468275 45.76390976687421, 4.825309901550545 45.76392484004867, 4.825278719140579 45.76395432084663, 4.825236435840212 45.76395895923768, 4.825243212158713 45.76398918111193, 4.8252849437029415 45.76417580522739, 4.825141189898799 45.7641918815455, 4.825142412508769 45.76419780204679, 4.825116999994837 45.76419928970855, 4.825060773985646 45.764202261647014, 4.825059215677289 45.76422928715701, 4.825045895680266 45.76469039957682, 4.825045145719816 45.76471462206596, 4.825041744627786 45.76489351001335, 4.825041479312288 45.76491682471111, 4.825038530665219 45.76506240476611, 4.825037669843197 45.765087169042566, 4.825032741615 45.765246911114176, 4.825031726827399 45.76527482791921, 4.825119978421258 45.76548797641172, 4.8251523822418685 45.76553110746006, 4.824930306812419 45.76560991092465, 4.824977459413287 45.76567539589376, 4.824894227328795 45.76572551175804, 4.824863690093477 45.76574724192378, 4.824822094721502 45.76582792053512, 4.824658995403153 45.765897407424276, 4.824445061827627 45.76587536745663, 4.82439267124708 45.765873777453706, 4.824375867440715 45.76587899697708, 4.824359783716708 45.76587871484983, 4.824332645655338 45.765886440106335, 4.8243228489386 45.76587786701836, 4.824296693651608 45.765856685970164, 4.82421662272259 45.76578731841536, 4.824200608560697 45.76577344489758, 4.824112212897367 45.76569332053463, 4.824095392291818 45.76567837991122, 4.824063404227112 45.765636141926, 4.824051584463061 45.76562076112036, 4.824025346969639 45.765597061283806, 4.82394121774556 45.7655097582681, 4.823840277160426 45.76540778439135, 4.82382022094355 45.765384345435095, 4.823815826475089 45.76537973578754, 4.8237998556941735 45.76536325147246, 4.82374449274823 45.765306177792844, 4.823632897884677 45.76523227503009, 4.823508846124929 45.765127431226304, 4.823368237495086 45.7650196125627, 4.823375768612562 45.765010041699924, 4.823035938875848 45.76474404207519, 4.822890336860007 45.764597512140156, 4.822765357761061 45.76443670139339, 4.822721361379474 45.76429853366257, 4.822717207603844 45.76428554996535, 4.822692560180657 45.764235723885676, 4.822637894576881 45.76410159711196, 4.822659085884835 45.7640221461915, 4.822716849589795 45.763885318343085, 4.822816775004799 45.76391314805261, 4.82295226436025 45.76394319793138, 4.823119188364594 45.763967163863725, 4.823120408873025 45.76396516427043, 4.8233611715687585 45.763993886792676, 4.824206620951772 45.76409481707763, 4.824290404231535 45.764104813973404, 4.824531162243855 45.764133354110896, 4.824534081748762 45.76411647697638, 4.824556249782049 45.76411801152896, 4.8246993274951935 45.764096996698086, 4.8246990155457175 45.764099251743524, 4.824748039881474 45.76408055517998, 4.8247462443480345 45.763919660922525, 4.82473446495098 45.76348523157708, 4.824730193263258 45.76332725707708, 4.824726584210477 45.76318952233347, 4.824720812489277 45.763189974905366, 4.824706404301381 45.76313872499732, 4.82477058962173 45.763127525410155, 4.824779292360368 45.7631537563373, 4.824814940941487 45.7631467944713, 4.824770705956284 45.763005391214215, 4.824763161453942 45.76300668223614, 4.824736532322099 45.762923857724864, 4.824810043272017 45.762899008289494, 4.8248333241664065 45.76289134475651, 4.824855953611344 45.76288342166204, 4.824870200765188 45.7628786930659, 4.824878466309001 45.762875860442385, 4.824939137838117 45.762855536936776, 4.82499752539108 45.76283615005078, 4.825080316941338 45.76280413143907, 4.825065390501205 45.76279204063543)))"
adr_voie_lieu.adrenssup.4699,Ecole technologique privée Supdemod,0690693D,,2017-02-24,2019-08-13,4699,"MULTIPOLYGON (((4.815032766804567 45.74029535405098, 4.815222100696693 45.74021637088632, 4.815414445496492 45.740443075044894, 4.815222535843208 45.740521919627604, 4.815032766804567 45.74029535405098)))"
adr_voie_lieu.adrenssup.2241,Université Catholique de Lyon,,,2005-10-04,2017-02-16,2241,"MULTIPOLYGON (((4.82677068042338 45.751122037498995, 4.8270938997007935 45.75164812752704, 4.827119293379989 45.751689390525875, 4.827071929319835 45.75170347155961, 4.826926394140641 45.75174657985286, 4.826862478811158 45.75176560671341, 4.826781369772318 45.75178958975112, 4.826699250381237 45.751814128965655, 4.826619414372111 45.75183773143531, 4.826578926952027 45.75184981179757, 4.8265067328205795 45.75187122143558, 4.8263263100240525 45.75192469932121, 4.826121888087679 45.75161054459411, 4.826100095358587 45.751577143741635, 4.826045132979068 45.751492704288296, 4.826183988218649 45.751445834280986, 4.826218830487159 45.75143411468974, 4.82627071427093 45.751416721380814, 4.826275707279761 45.75142393137036, 4.8263044087100155 45.75146415141506, 4.826321733759835 45.7514592831654, 4.826405038720472 45.75143562520008, 4.826603501017027 45.75137951744151, 4.826589786196969 45.75135723720035, 4.826574987430493 45.751333264327506, 4.826536145370371 45.751269986695036, 4.826493645427417 45.75120100766425, 4.82677068042338 45.751122037498995)))"
adr_voie_lieu.adrenssup.6625,Ecole Centrale,,,2000-10-17,2017-02-16,6625,"MULTIPOLYGON (((4.770529638789036 45.78023144257688, 4.770495667539949 45.78029578116238, 4.7702742196886225 45.78071430655347, 4.77015947339904 45.780936681642984, 4.7702445627190135 45.78113308855924, 4.769789423210022 45.78111532669594, 4.769582121050853 45.781209990125724, 4.769584620357809 45.781596501844454, 4.769434558846751 45.78190996530168, 4.769647346477192 45.78197172713122, 4.76957620263266 45.782133393494334, 4.769908274251575 45.782281500352624, 4.7699154543233755 45.78233745878292, 4.770055399858494 45.782373712541656, 4.7700608054784635 45.78237785848163, 4.770066342525453 45.782382092377574, 4.770071748147054 45.78238623831704, 4.770077156627191 45.78239047421193, 4.770082439397377 45.782394802061745, 4.770087590742088 45.7823990419551, 4.770092876371656 45.782403459760104, 4.770097904864956 45.78240788156387, 4.770103061927612 45.78241230136792, 4.770107961853942 45.78241672517077, 4.770112990349631 45.78242114697384, 4.770117890277526 45.78242557077623, 4.770122667353217 45.78243017648932, 4.770127570140494 45.78243469024699, 4.770132215791316 45.782439208003524, 4.770136995727195 45.78244390367171, 4.77014151852659 45.782448603338786, 4.770146169895402 45.78245330100612, 4.770150561269803 45.78245791271669, 4.770155086929347 45.78246270233891, 4.770159349736534 45.78246731604873, 4.770163749686774 45.782472197625836, 4.770167889642475 45.78247699324628, 4.770172161025505 45.78248187682265, 4.770176300982645 45.782486672442765, 4.770180186660918 45.782491562017604, 4.770184332335302 45.7824965375488, 4.770188220872892 45.78250151707907, 4.770192106553245 45.782506406653475, 4.770195866523425 45.78251138818309, 4.7701996264942785 45.782516369712546, 4.77020326075494 45.78252144319719, 4.770207020727132 45.782526424726406, 4.770210529278246 45.78253159016613, 4.770214034972044 45.78253666565005, 4.770217414955591 45.78254183308919, 4.7702207949397675 45.78254700052823, 4.770224046355686 45.7825521699668, 4.770227294914219 45.782557249449574, 4.770230423478418 45.78256260079898, 4.770667503696371 45.78209266120483, 4.770951068688413 45.782280759743806, 4.771250898387119 45.782478684508526, 4.771269355781121 45.782500897312204, 4.77168758020032 45.78309684917724, 4.771659018341569 45.78311691379869, 4.771651350042602 45.783122523169965, 4.77164342746207 45.78312822649888, 4.77163550774021 45.78313401978288, 4.771627845157076 45.78313980906384, 4.7716200540021525 45.78314560034553, 4.771612525706549 45.78315156753554, 4.771604868839104 45.78315753672626, 4.771597600540985 45.78316358986852, 4.771590332241283 45.78316964301031, 4.771582941090151 45.78317587806413, 4.771575932788029 45.78318201715829, 4.771568801634434 45.78318833816448, 4.77156192475968 45.78319456521226, 4.771555182174055 45.783200970169766, 4.77154831101653 45.78320737712802, 4.7713539103067975 45.78341668308635, 4.771189630117612 45.78359428992251, 4.77059011849377 45.784239648463036, 4.770575430017221 45.78425508697568, 4.77056194442592 45.78427194677685, 4.770549076027461 45.78429203698021, 4.770527133441306 45.78432612835352, 4.770295792619075 45.784757677259755, 4.770221032445857 45.78489060015818, 4.770198469416035 45.784925421109406, 4.770179800671424 45.78495325148287, 4.770159274705244 45.78497931073381, 4.7700657646786215 45.78508894508087, 4.769975322893147 45.785189891622224, 4.769878212044675 45.78529958179475, 4.769569642256073 45.7856570897801, 4.7689796440544 45.78633190118069, 4.7689774210539815 45.78633481573077, 4.768975069475667 45.78633773227903, 4.768972712184794 45.78634046891588, 4.768970226316008 45.786343207550885, 4.768967611869299 45.78634594818409, 4.768964865988502 45.78634860085976, 4.768962120107441 45.78635125353537, 4.768959245648419 45.786353908209136, 4.768956236899154 45.786356384969665, 4.76895322814962 45.78635886173008, 4.76895008796598 45.78636125053297, 4.76894681634823 45.786363551378265, 4.768943547586321 45.78636594217918, 4.768940147390291 45.78636824502249, 4.768936615760138 45.7863704599082, 4.7688551254397975 45.786413126326245, 4.76690525290306 45.785405350312, 4.767502555240764 45.78494814652546, 4.767900806657313 45.784611301366745, 4.76659877691367 45.78401600694455, 4.766659317167199 45.783965837275026, 4.766026935962509 45.783535370824474, 4.766035797561456 45.78351057332152, 4.766088480926517 45.783500665871244, 4.766555634128031 45.782168435687936, 4.767071258500094 45.7823328716592, 4.76719104543861 45.78237034188001, 4.76769819454192 45.78162284584082, 4.766962982848281 45.78117787179627, 4.767210029307079 45.78104245606511, 4.76733072884532 45.78098712184861, 4.767341159929445 45.78098344987006, 4.767351076750758 45.780979785876134, 4.767360999277331 45.78097630179292, 4.76737104466141 45.78097263580086, 4.767380832913504 45.78096897380076, 4.767390752582959 45.78096539975917, 4.767400800816461 45.78096182372025, 4.767410589064699 45.78095816171759, 4.767420637295623 45.78095458567693, 4.767430554106577 45.78095092167609, 4.767440345204351 45.780947349626636, 4.767450393431418 45.780943773583346, 4.76746031023849 45.780940109579895, 4.767470227044255 45.78093644557561, 4.767480146702191 45.78093287152619, 4.767502931600476 45.780925317680634, 4.767525853618426 45.78091803170124, 4.767548904195577 45.78091074372058, 4.767571954766698 45.78090345573527, 4.767595011039095 45.78089634765683, 4.767618330143279 45.78088941549185, 4.767641520676537 45.78088248531879, 4.767664842622897 45.78087564310005, 4.767688298836235 45.78086897879126, 4.767711632186565 45.78086249638599, 4.767735219807708 45.78085592002651, 4.767758684566073 45.78084952557052, 4.767782280738039 45.78084321906856, 4.767806008323664 45.78083700052058, 4.767829353063033 45.780830877914205, 4.767923483379575 45.78080574576825, 4.768311071483387 45.78071755446471, 4.768335427505826 45.780710876040075, 4.768439574460122 45.780664977805436, 4.769157814657794 45.78112622624691, 4.769304377992959 45.78091325764812, 4.7698358939916545 45.78065074332935, 4.770154214293964 45.78068206300005, 4.770383496619617 45.780255045971586, 4.770529638789036 45.78023144257688)))"
