FID,uai,nom,nature,code_nature,statut_public_prive,type_contrat_prive,code_type_contrat_prive,adresse,insee,code_postal,commune,voie_generale,voie_technologique,voie_professionnelle,telephone,fax,web,mail,restauration,hebergement,ulis,apprentissage,segpa,section_arts,section_cinema,section_theatre,section_sport,section_internationale,section_europeenne,lycee_agricole,lycee_militaire,lycee_des_metiers,post_bac,greta,siren_siret,nombre_d_eleves,effectifs_par_uai,fiche_onisep,precision_localisation,date_ouverture,etat,ministere_tutelle,multi_uai,pial,etablissement_mere,type_rattachement_etablissement_mere,zone_animation_pedagogique,code_zone_animation_pedagogique,datemaj,gid,the_geom
edu_education.lycee.4989,0690018V,Lycée professionnel Danielle Casanova,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,7 avenue Danielle Casanova ,69091,69700,Givors,false,false,true,+33472241157,+33472490433,https://danielle-casanova.ent.auvergnerhonealpes.fr/,ce.0690018V@ac-lyon.fr,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,true,19690018700010,437,"{""2019-2020"": 370, ""2020-2021"": 383, ""2021-2022"": 394, ""2022-2023"": 423, ""2023-2024"": 426, ""2024-2025"": 437}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7133,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691483M,,,,,2025-10-07,4989,POINT (4.766439826799746 45.59404718701789)
edu_education.lycee.4991,0690023A,Lycée Ampère,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,29 rue de la Bourse ,69382,69002,Lyon 2e Arrondissement,true,true,false,+33472101212,,https://ampere.ent.auvergnerhonealpes.fr/,ce.0690023a@ac-lyon.fr,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,true,19690023700013,847,"{""2019-2020"": 1186, ""2020-2021"": 1132, ""2021-2022"": 1071, ""2022-2023"": 1012, ""2023-2024"": 969, ""2024-2025"": 847}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1556,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0692693C,,,,,2025-10-07,4991,POINT (4.837004388689782 45.7652833652115)
edu_education.lycee.4992,0690026D,Lycée du Parc,LYCEE D ENSEIGNEMENT GENERAL,302,Public,SANS OBJET,99,1 boulevard Anatole France ,69386,69458,Lyon 6e Arrondissement,true,false,false,+33437511551,+33437511552,http://lyceeduparc.fr/ldp/,ce.0690026D@ac-lyon.fr,true,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,19690026000015,703,"{""2019-2020"": 590, ""2020-2021"": 631, ""2021-2022"": 656, ""2022-2023"": 695, ""2023-2024"": 695, ""2024-2025"": 703}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1287,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691663H,,,,,2025-10-07,4992,POINT (4.856922375378193 45.771702861164115)
edu_education.lycee.4993,0690027E,Lycée Édouard Herriot,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,6 place Edgar Quinet ,69386,69455,Lyon 6e Arrondissement,true,true,false,+33472830960,+33472830968,https://lycee-eherriot.etab.ac-lyon.fr/spip/,ce.0690027E@ac-lyon.fr,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,19690027800017,842,"{""2019-2020"": 848, ""2020-2021"": 845, ""2021-2022"": 831, ""2022-2023"": 808, ""2023-2024"": 792, ""2024-2025"": 842}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19251,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691663H,,,,,2025-10-07,4993,POINT (4.845110421330025 45.765689703792646)
edu_education.lycee.4994,0690028F,Lycée Saint-Just,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,21 rue des Farges ,69385,69005,Lyon 5e Arrondissement,true,true,false,+33437413030,+33437413031,https://saint-just.ent.auvergnerhonealpes.fr/,ce.0690028F@ac-lyon.fr,true,true,false,false,false,true,true,true,false,false,true,false,false,false,true,true,19690028600010,1172,"{""2019-2020"": 1293, ""2020-2021"": 1326, ""2021-2022"": 1290, ""2022-2023"": 1226, ""2023-2024"": 1185, ""2024-2025"": 1172}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8209,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691670R,,,,,2025-10-07,4994,POINT (4.8212424666408005 45.75679648335028)
edu_education.lycee.5363,0694578B,Ecole technologique privée All In School,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,301,Privé,HORS CONTRAT,10,13 rue Marceau 69150 DECINES CHARPIEU,69275,69150,Décines-Charpieu,,,,+33673644798,,,frederic.strappazzon@allin-school.com,true,true,false,,false,,,,,,,,,false,,false,92326934400019,,,,Numéro de rue,2023-04-26,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5363,POINT (4.976463470633778 45.76180177721289)
edu_education.lycee.4995,0690029G,Lycée Lacassagne,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,93 rue Antoine Charial ,69383,69425,Lyon 3e Arrondissement,true,true,false,+33472918900,+33472918909,https://lacassagne.ent.auvergnerhonealpes.fr/,ce.0690029G@ac-lyon.fr,true,false,false,true,false,true,true,true,false,false,true,false,false,false,true,true,19690029400014,606,"{""2019-2020"": 521, ""2020-2021"": 544, ""2021-2022"": 561, ""2022-2023"": 586, ""2023-2024"": 611, ""2024-2025"": 606}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1064,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690131T,,,,,2025-10-07,4995,POINT (4.870405383851495 45.757760030497714)
edu_education.lycee.4996,0690031J,Lycée Antoine de Saint-Exupéry,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,82 rue Hénon ,69384,69316,Lyon 4e Arrondissement,true,true,false,+33472109191,+33478394524,https://saint-exupery-lyon.ent.auvergnerhonealpes.fr/,ce.0690031J@ac-lyon.fr,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,19690031000018,1399,"{""2019-2020"": 1443, ""2020-2021"": 1438, ""2021-2022"": 1419, ""2022-2023"": 1364, ""2023-2024"": 1314, ""2024-2025"": 1399}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18218,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691662G,,,,,2025-10-07,4996,POINT (4.8218894744007565 45.77966183894726)
edu_education.lycee.5109,0690696G,Ecole privée Silvya Terrade - International Silvya Terrade,LYCEE PROFESSIONNEL,320,Privé,HORS CONTRAT,10,73 rue LOUIS BLANC 69006 LYON,69386,69006,Lyon 6e Arrondissement,,,,+33478423637,,,lyon@groupe-terrade.com,false,false,false,,false,,,,,,,,,false,,false,52407208900021,,,,Numéro de rue,1947-03-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5109,POINT (4.85430319621442 45.76530206809765)
edu_education.lycee.5113,0691474C,Ecole professionnelle privée Ateliers d'Apprentissage de la Giraudière,LYCEE PROFESSIONNEL,320,Privé,HORS CONTRAT,10,LA GIRAUDIERE LA GIRAUDIERE 69690 BRUSSIEU,69031,69690,Brussieu,,,,+33474708504,,,contact@lagiraudiere.fr,true,true,false,,false,,,,,,,,,false,,false,77966896100013,,,,Rue,1957-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5113,POINT (4.540939677100338 45.749189999251634)
